1   -0.048597	0.023263	-0.028416
2   -0.029010	0.103099	0.019266
3   0.026249	-0.023684	-0.003408
4   -0.001547	0.028261	0.126961
5   -0.004580	-0.026302	-0.011746
6   0.071918	-0.180514	0.014975
7   -0.009155	0.023816	-0.018488
8   0.053639	-0.077794	0.026567
9   0.006231	-0.059638	-0.076517
10  0.007847	0.027809	-0.028649
11  0.036834	0.005238	-0.000845
12  0.003868	-0.002011	0.025637
13  0.052432	-0.085479	0.047537
14  -0.027809	0.165300	-0.088671
15  -0.205867	-0.001200	0.005819
16  -0.049638	0.113634	0.076022
17  0.047479	0.193401	-0.001382
18  0.017299	0.024794	0.021442
19  0.139105	0.036964	-0.034421
20  0.018512	-0.004543	0.049871
21  -0.053113	-0.000614	0.049189
22  0.001788	0.004278	-0.000438
23  -0.040907	0.008865	-0.045870
24  -0.041258	0.005038	-0.068799
25  0.001098	0.011033	-0.009446
26  0.018341	-0.073972	-0.028156
27  -0.014660	0.009014	-0.011145
28  0.042446	0.100361	0.010106
29  0.031257	-0.037786	-0.050000
30  0.006541	-0.036373	0.083638
31  -0.012459	-0.026983	0.018143
32  -0.124073	0.043479	0.081980
33  -0.011926	-0.012643	0.032405
34  -0.000535	0.115781	-0.044686
35  -0.029107	0.113946	0.097816
36  0.041158	-0.179750	0.068706
37  -0.047306	0.004692	-0.001964
38  -0.095953	-0.003354	-0.004554
39  0.037155	0.007298	-0.029171
40  -0.046419	0.002501	0.023632
41  -0.038655	-0.246526	0.078432
42  0.003045	-0.031360	0.065616
43  0.003005	-0.009001	0.055835
44  -0.029919	0.000327	-0.006636
45  -0.094331	0.042042	0.163848
46  -0.006194	0.017906	0.028894
47  0.175725	-0.015968	0.025113
48  0.079883	0.019466	-0.001430
49  0.031857	0.062917	-0.089320
50  -0.015517	-0.003535	0.085190
51  -0.009231	0.010786	-0.000257
52  -0.004270	-0.048214	0.041471
53  -0.071977	-0.056086	0.010480
54  0.078596	-0.047883	0.200899
55  0.018845	0.008551	-0.053018
56  -0.135332	-0.046221	0.219836
57  0.043936	0.050827	-0.046531
58  0.028819	0.016550	-0.050931
59  0.065032	-0.102226	-0.155407
60  0.129793	-0.006008	0.178800
61  -0.205426	0.005192	-0.043859
62  -0.006868	0.025123	0.009976
63  0.018521	-0.018123	-0.103831
64  0.028280	0.008837	-0.003699
65  0.045650	-0.048621	-0.020425
66  0.033156	-0.002072	-0.015165
67  -0.005464	0.037171	-0.001292
68  0.095267	-0.024805	-0.122661
69  0.042055	0.019523	-0.052394
70  -0.000808	0.016764	-0.065275
71  -0.017681	-0.003403	0.016093
72  0.023406	-0.001587	-0.086719
73  0.130273	-0.069311	-0.037214
74  -0.028136	-0.010913	0.015139
75  -0.056638	0.024335	0.001738
76  0.083291	0.185571	-0.070068
77  -0.026156	-0.053332	0.055648
78  -0.065650	-0.017331	-0.197499
79  0.085952	0.042141	-0.098779
80  0.003950	-0.099711	0.033238
81  -0.031131	-0.026061	-0.002985
82  0.117018	-0.049280	0.002370
83  -0.114295	-0.116525	0.064363
84  0.010346	-0.020887	0.014949
85  -0.029537	-0.017161	-0.013947
86  0.019149	-0.009209	0.003430
87  -0.123632	0.062552	0.071868
88  -0.256069	-0.132356	0.047914
89  -0.055728	0.102692	0.088353
90  0.018180	0.090357	0.072301
91  0.000171	0.050778	-0.037915
92  0.008957	-0.143641	-0.019344
93  0.028140	0.158101	0.080160
94  -0.030301	0.018467	-0.001000
95  -0.011192	0.017859	-0.011149
96  0.056705	-0.076289	-0.105070
97  0.080837	-0.064629	-0.083398
98  -0.076445	0.080305	-0.018679
99  0.244450	-0.037898	-0.174504
100 -0.052987	0.141805	-0.234494
